seendate,title,url,domain,language,sourcecountry,query_used,seendate_dt,date,title_clean,_vader_text,vader_compound,vader_label,vader_label_num
20251104T170000Z,AMD Radeon Reversal : Old GPUs Get New Life in Gaming ( 62 characters ) ,https://www.webpronews.com/amds-radeon-reversal-old-gpus-get-new-life-in-gaming-62-characters/,webpronews.com,English,United States,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-04 17:00:00+00:00,2025-11-04,AMD Radeon Reversal : Old GPUs Get New Life in Gaming ( 62 characters ),amd radeon reversal : old gpus get new life in gaming ( 62 characters ),0.0,neutral,0
20251105T173000Z,AMD New CPUs Might Just Kill Low - End GPUs Soon,https://gizmodo.com/amd-ai-max-plus-388-and-ryzen-ai-max-plus-392-cpu-specs-leak-2000681922,gizmodo.com,English,United States,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-05 17:30:00+00:00,2025-11-05,AMD New CPUs Might Just Kill Low - End GPUs Soon,amd new cpus might just kill low - end gpus soon,-0.7783,negative,-1
20251105T160000Z,"Nvidia Could Jump 75 % as GPU Shipments Set to Double , Says Loop Capital",https://finance.yahoo.com/news/nvidia-could-jump-75-gpu-165702488.html,finance.yahoo.com,English,United States,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-05 16:00:00+00:00,2025-11-05,"Nvidia Could Jump 75 % as GPU Shipments Set to Double , Says Loop Capital","nvidia could jump 75 % as gpu shipments set to double , says loop capital",0.0,neutral,0
20251105T154500Z,Industry Comparison : Evaluating NVIDIA Against Competitors In Semiconductors & Semiconductor Equipment Industry,https://biztoc.com/x/c18f0af1a6a183bb,biztoc.com,English,,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-05 15:45:00+00:00,2025-11-05,Industry Comparison : Evaluating NVIDIA Against Competitors In Semiconductors & Semiconductor Equipment Industry,industry comparison : evaluating nvidia against competitors in semiconductors & semiconductor equipment industry,0.0,neutral,0
20251105T153000Z,"SK hynix reveals DRAM development roadmap through 2031 DDR6 , GDDR8 , LPDDR6 , and 3D DRAM incoming",https://www.tomshardware.com/pc-components/dram/sk-hynix-reveals-dram-development-roadmap-through-2031-ddr6-gddr8-lpddr6-and-3d-dram-incoming,tomshardware.com,English,United States,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-05 15:30:00+00:00,2025-11-05,"SK hynix reveals DRAM development roadmap through 2031 DDR6 , GDDR8 , LPDDR6 , and 3D DRAM incoming","sk hynix reveals dram development roadmap through 2031 ddr6 , gddr8 , lpddr6 , and 3d dram incoming",0.0,neutral,0
20251105T121500Z,Micron reported HBM4 delay could cede AI chip advantage to Samsung and SK Hynix,https://www.digitimes.com/news/a20251104PD230/micron-hbm4-samsung-sk-hynix-nvidia.html,digitimes.com,English,China,"(""Applied Materials"" OR ""Lam Research"" OR Broadcom OR Micron) sourcelang:eng",2025-11-05 12:15:00+00:00,2025-11-05,Micron reported HBM4 delay could cede AI chip advantage to Samsung and SK Hynix,micron reported hbm4 delay could cede ai chip advantage to samsung and sk hynix,-0.0772,negative,-1
20251106T223000Z,"Lam Research Corporation ( Nasdaq : LRCX ) Declares Quarterly Dividend , Signaling Robust Financial Health Amidst Semiconductor Boom",https://markets.financialcontent.com/stocks/article/marketminute-2025-11-6-lam-research-corporation-nasdaq-lrcx-declares-quarterly-dividend-signaling-robust-financial-health-amidst-semiconductor-boom,markets.financialcontent.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-06 22:30:00+00:00,2025-11-06,"Lam Research Corporation ( Nasdaq : LRCX ) Declares Quarterly Dividend , Signaling Robust Financial Health Amidst Semiconductor Boom","lam research corporation ( nasdaq : lrcx ) declares quarterly dividend , signaling robust financial health amidst semiconductor boom",0.34,positive,1
20251106T211500Z,Here the Cheapest 12GB GPU Youll Find for Amazing 1080p Performance – Intel Arc B580 Drops to $234 . 99,https://wccftech.com/here-the-cheapest-12gb-gpu-for-amazing-1080p-performance/,wccftech.com,English,United States,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-06 21:15:00+00:00,2025-11-06,Here the Cheapest 12GB GPU Youll Find for Amazing 1080p Performance – Intel Arc B580 Drops to $234 . 99,here the cheapest 12gb gpu youll find for amazing 1080p performance – intel arc b580 drops to $234 . 99,0.5859,positive,1
20251106T163000Z,Analyzing NVIDIA In Comparison To Competitors In Semiconductors & Semiconductor Equipment Industry,https://biztoc.com/x/c3f22773e1e7b46b,biztoc.com,English,,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-06 16:30:00+00:00,2025-11-06,Analyzing NVIDIA In Comparison To Competitors In Semiconductors & Semiconductor Equipment Industry,analyzing nvidia in comparison to competitors in semiconductors & semiconductor equipment industry,0.0,neutral,0
20251106T070000Z,"Samsung HBM4 yields surge toward Nvidia certification , SK Hynix keeps edge",https://www.digitimes.com/news/a20251106VL208/nvidia-hbm4-samsung-sk-hynix-dram.html,digitimes.com,English,China,"(""Applied Materials"" OR ""Lam Research"" OR Broadcom OR Micron) sourcelang:eng",2025-11-06 07:00:00+00:00,2025-11-06,"Samsung HBM4 yields surge toward Nvidia certification , SK Hynix keeps edge","samsung hbm4 yields surge toward nvidia certification , sk hynix keeps edge",0.0,neutral,0
20251107T234500Z,Nvidia RTX 5000 Super could be cancelled or get pricier due to AI - induced GDDR7 woes rumor claims 3 GB memory chips are now too valuable for consumer GPUs,https://www.tomshardware.com/pc-components/gpus/nvidias-rtx-5000-super-could-be-cancelled-or-get-pricier-due-to-ai-induced-gddr7-woes-rumor-claims-3-gb-memory-chips-are-now-too-valuable-for-consumer-gpus,tomshardware.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-07 23:45:00+00:00,2025-11-07,Nvidia RTX 5000 Super could be cancelled or get pricier due to AI - induced GDDR7 woes rumor claims 3 GB memory chips are now too valuable for consumer GPUs,nvidia rtx 5000 super could be cancelled or get pricier due to ai - induced gddr7 woes rumor claims 3 gb memory chips are now too valuable for consumer gpus,0.4767,positive,1
20251107T200000Z,Nvidia GeForce RTX 5070 Ti review :  Id happily buy this 4K GPU for the right price  ,https://www.gamesradar.com/hardware/desktop-pc/nvidia-geforce-rtx-5070-ti-review/,gamesradar.com,English,United States,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-07 20:00:00+00:00,2025-11-07,Nvidia GeForce RTX 5070 Ti review : Id happily buy this 4K GPU for the right price,nvidia geforce rtx 5070 ti review : id happily buy this 4k gpu for the right price,0.5574,positive,1
20251107T193000Z,Elon Musk says building his own  TeraFab  chip fab may be the only answer to Tesla colossal AI semiconductor demand Nvidia CEO Jensen Huang warns against  extremely hard  challenge,https://www.tomshardware.com/tech-industry/semiconductors/elon-musk-says-terafab-chip-fab-may-be-the-only-answer-to-teslas-colossal-ai-semiconductor-demand-nvidia-ceo-jensen-huang-warns-against-extremely-hard-challenge,tomshardware.com,English,United States,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-07 19:30:00+00:00,2025-11-07,Elon Musk says building his own TeraFab chip fab may be the only answer to Tesla colossal AI semiconductor demand Nvidia CEO Jensen Huang warns against extremely hard challenge,elon musk says building his own terafab chip fab may be the only answer to tesla colossal ai semiconductor demand nvidia ceo jensen huang warns against extremely hard challenge,0.2466,positive,1
20251107T191500Z,"Nvidia Stock Is Up 50 % in 2025 , but Here Another Super Semiconductor Stock to Buy Hand Over Fist , According to Wall Street",https://finance.yahoo.com/news/nvidia-stock-50-2025-heres-090500124.html,finance.yahoo.com,English,United States,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-07 19:15:00+00:00,2025-11-07,"Nvidia Stock Is Up 50 % in 2025 , but Here Another Super Semiconductor Stock to Buy Hand Over Fist , According to Wall Street","nvidia stock is up 50 % in 2025 , but here another super semiconductor stock to buy hand over fist , according to wall street",0.8922,positive,1
20251107T143000Z,Nvidia might scrap RTX 50 SUPER GPUs,https://www.fudzilla.com/news/graphics/62002-nvidia-might-scrap-rtx-50-super-gpus-thanks-to-ddr7-shortages,fudzilla.com,English,China,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-07 14:30:00+00:00,2025-11-07,Nvidia might scrap RTX 50 SUPER GPUs,nvidia might scrap rtx 50 super gpus,0.5994,positive,1
20251107T081500Z,Prediction : The Best - Performing Artificial Intelligence Stock of 2026 Wont Be a Chipmaker,https://www.fool.com/investing/2025/11/06/prediction-the-best-performing-artificial-intellig/,fool.com,English,United States,"(""Applied Materials"" OR ""Lam Research"" OR Broadcom OR Micron) sourcelang:eng",2025-11-07 08:15:00+00:00,2025-11-07,Prediction : The Best - Performing Artificial Intelligence Stock of 2026 Wont Be a Chipmaker,prediction : the best - performing artificial intelligence stock of 2026 wont be a chipmaker,0.8074,positive,1
20251108T221500Z,"Here How Nvidia , AMD , and Broadcom Could Help This Super Semiconductor ETF Turn $500 Per Month Into $1 Million",https://www.fool.com/investing/2025/11/07/heres-nvidia-amd-semiconductor-etf-500-month-1-mil/,fool.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-08 22:15:00+00:00,2025-11-08,"Here How Nvidia , AMD , and Broadcom Could Help This Super Semiconductor ETF Turn $500 Per Month Into $1 Million","here how nvidia , amd , and broadcom could help this super semiconductor etf turn $500 per month into $1 million",0.8087,positive,1
20251108T214500Z,"Ambassador Kwatra interacts with Intel CEO on plans to develop semiconductor , AI industry in India",http://www.calcuttanews.net/news/278682166/ambassador-kwatra-interacts-with-intel-ceo-on-plans-to-develop-semiconductor-ai-industry-in-india,calcuttanews.net,English,India,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-08 21:45:00+00:00,2025-11-08,"Ambassador Kwatra interacts with Intel CEO on plans to develop semiconductor , AI industry in India","ambassador kwatra interacts with intel ceo on plans to develop semiconductor , ai industry in india",0.0,neutral,0
20251108T164500Z,Critical Comparison : GlobalFoundries ( NASDAQ : GFS ) & Alpha and Omega Semiconductor ( NASDAQ : AOSL ) ,https://www.dailypolitical.com/2025/11/08/critical-comparison-globalfoundries-nasdaqgfs-alpha-and-omega-semiconductor-nasdaqaosl.html,dailypolitical.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-08 16:45:00+00:00,2025-11-08,Critical Comparison : GlobalFoundries ( NASDAQ : GFS ) & Alpha and Omega Semiconductor ( NASDAQ : AOSL ),critical comparison : globalfoundries ( nasdaq : gfs ) & alpha and omega semiconductor ( nasdaq : aosl ),-0.3182,negative,-1
20251108T163000Z,"TSMC 3nm Process Has Entered  Golden Period Of Mass Production , Estimates State That Monthly Wafer Production Can Reach 160 , 000 Units By The End Of 2025",https://wccftech.com/tsmc-3nm-golden-period-of-mass-production-has-started-says-report/,wccftech.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-08 16:30:00+00:00,2025-11-08,"TSMC 3nm Process Has Entered Golden Period Of Mass Production , Estimates State That Monthly Wafer Production Can Reach 160 , 000 Units By The End Of 2025","tsmc 3nm process has entered golden period of mass production , estimates state that monthly wafer production can reach 160 , 000 units by the end of 2025",0.0258,neutral,0
20251108T163000Z,Better Artificial Intelligence ETF : iShares Semiconductor vs . the Fidelity MSCI Information Technology Index,https://www.fool.com/coverage/etfs/2025/11/08/better-artificial-intelligence-etf-ishares-semiconductor-vs-the-fidelity-msci-information-technology-index/?source=iedfolrf0000001,fool.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-08 16:30:00+00:00,2025-11-08,Better Artificial Intelligence ETF : iShares Semiconductor vs . the Fidelity MSCI Information Technology Index,better artificial intelligence etf : ishares semiconductor vs . the fidelity msci information technology index,0.7184,positive,1
20251108T163000Z,"Microsoft Has Reportedly Developed  Toolkits  to Break NVIDIA CUDA Dominance , Slashing Inference Costs with AMD AI GPUs",https://wccftech.com/microsoft-has-developed-toolkits-to-break-nvidia-cuda-dominance/,wccftech.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-08 16:30:00+00:00,2025-11-08,"Microsoft Has Reportedly Developed Toolkits to Break NVIDIA CUDA Dominance , Slashing Inference Costs with AMD AI GPUs","microsoft has reportedly developed toolkits to break nvidia cuda dominance , slashing inference costs with amd ai gpus",-0.0772,negative,-1
20251108T090000Z,Nvidia CEO Jensen Huang Hails TSMC Wafer Backing Amid  Very Strong  Demand For Blackwell Chips After Trump Bars Sales To  Other People  ,https://biztoc.com/x/2048f262668aca9b,biztoc.com,English,,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-08 09:00:00+00:00,2025-11-08,Nvidia CEO Jensen Huang Hails TSMC Wafer Backing Amid Very Strong Demand For Blackwell Chips After Trump Bars Sales To Other People,nvidia ceo jensen huang hails tsmc wafer backing amid very strong demand for blackwell chips after trump bars sales to other people,0.4432,positive,1
20251109T120000Z,"NVIDIA Next - Gen Rubin GPUs Have Reportedly Entered Production , Also Secures HBM4 Samples From All Major DRAM Manufacturers",https://wccftech.com/nvidia-next-gen-rubin-gpus-enter-production-hbm4-samples-all-major-manufacturers/,wccftech.com,English,United States,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-09 12:00:00+00:00,2025-11-09,"NVIDIA Next - Gen Rubin GPUs Have Reportedly Entered Production , Also Secures HBM4 Samples From All Major DRAM Manufacturers","nvidia next - gen rubin gpus have reportedly entered production , also secures hbm4 samples from all major dram manufacturers",0.3182,positive,1
20251109T100000Z,Nvidia CEO Jensen Huang asks TSMC for More Wafers as AI Demand Soars – Outlook Business,https://www.outlookbusiness.com/technology/nvidia-ceo-jensen-huang-asks-tsmc-for-more-wafers-as-ai-demand-soars,outlookbusiness.com,English,India,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-09 10:00:00+00:00,2025-11-09,Nvidia CEO Jensen Huang asks TSMC for More Wafers as AI Demand Soars – Outlook Business,nvidia ceo jensen huang asks tsmc for more wafers as ai demand soars – outlook business,-0.128,negative,-1
20251109T070000Z,"Indian envoy Vinay Kwatra , Intel CEO discuss semiconductor , AI plans for India",https://www.thehindu.com/news/national/indian-envoy-vinay-kwatra-intel-ceo-discuss-semiconductor-ai-plans-for-india/article70258808.ece,thehindu.com,English,India,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-09 07:00:00+00:00,2025-11-09,"Indian envoy Vinay Kwatra , Intel CEO discuss semiconductor , AI plans for India","indian envoy vinay kwatra , intel ceo discuss semiconductor , ai plans for india",0.0,neutral,0
20251109T053000Z,"Indian envoy Kwatra , Intel CEO discuss semiconductor , AI plans for India",https://www.thehindubusinessline.com/info-tech/indian-envoy-kwatra-intel-ceo-discuss-semiconductor-ai-plans-for-india/article70258683.ece,thehindubusinessline.com,English,India,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-09 05:30:00+00:00,2025-11-09,"Indian envoy Kwatra , Intel CEO discuss semiconductor , AI plans for India","indian envoy kwatra , intel ceo discuss semiconductor , ai plans for india",0.0,neutral,0
20251109T030000Z,1 Surprising Way Taiwan Semiconductor Manufacturing ( TSMC ) Makes Money,https://www.fool.com/investing/2025/11/08/1-surprising-way-tsmc-makes-money/,fool.com,English,United States,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-09 03:00:00+00:00,2025-11-09,1 Surprising Way Taiwan Semiconductor Manufacturing ( TSMC ) Makes Money,1 surprising way taiwan semiconductor manufacturing ( tsmc ) makes money,0.2732,positive,1
20251109T021500Z,Nvidia CEO asks TSMC for more wafers - The Times of India,https://timesofindia.indiatimes.com/business/international-business/nvidia-ceo-asks-tsmc-for-more-wafers/articleshow/125195917.cms,timesofindia.indiatimes.com,English,India,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-09 02:15:00+00:00,2025-11-09,Nvidia CEO asks TSMC for more wafers - The Times of India,nvidia ceo asks tsmc for more wafers - the times of india,0.0,neutral,0
20251110T210000Z,GlobalFoundries licenses GaN tech from TSMC - Compound Semiconductor News,https://compoundsemiconductor.net/article/122912/GlobalFoundries_licenses_GaN_tech_from_TSMC,compoundsemiconductor.net,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-10 21:00:00+00:00,2025-11-10,GlobalFoundries licenses GaN tech from TSMC - Compound Semiconductor News,globalfoundries licenses gan tech from tsmc - compound semiconductor news,0.0,neutral,0
20251110T200000Z,"Musk confirms Tesla AI5 and AI6 will be made at both Samsung and TSMC , reinforcing dual - foundry strategy",https://www.tomshardware.com/tech-industry/semiconductors/musk-confirms-tesla-ai5-and-ai6-will-be-made-at-samsung-and-tsmc,tomshardware.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-10 20:00:00+00:00,2025-11-10,"Musk confirms Tesla AI5 and AI6 will be made at both Samsung and TSMC , reinforcing dual - foundry strategy","musk confirms tesla ai5 and ai6 will be made at both samsung and tsmc , reinforcing dual - foundry strategy",0.0,neutral,0
20251110T190000Z,GlobalFoundries Secures Next - Gen Chip Tech From Taiwan Semiconductor,https://biztoc.com/x/113e73fed7f1c798,biztoc.com,English,,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-10 19:00:00+00:00,2025-11-10,GlobalFoundries Secures Next - Gen Chip Tech From Taiwan Semiconductor,globalfoundries secures next - gen chip tech from taiwan semiconductor,0.3182,positive,1
20251110T181500Z,GlobalFoundries rises as it licenses next - gen technology from Taiwan Semiconductor ( GFS : NASDAQ ) ,https://seekingalpha.com/news/4519295-globalfoundries-rises-as-licenses-next-gen-technology-from-taiwan-semiconductor,seekingalpha.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-10 18:15:00+00:00,2025-11-10,GlobalFoundries rises as it licenses next - gen technology from Taiwan Semiconductor ( GFS : NASDAQ ),globalfoundries rises as it licenses next - gen technology from taiwan semiconductor ( gfs : nasdaq ),0.0,neutral,0
20251110T220000Z,"AMD Advances Its AI Strategy With The Acquisition of MK1 , Brings High - Speed Inference & Reasoning Technologies Optimized For Instinct GPUs",https://wccftech.com/amd-advances-ai-strategy-acquires-mk1-high-speed-inference-reasoning-instinct-gpus/,wccftech.com,English,United States,(TSMC OR Nvidia OR AMD OR Intel OR ASML) sourcelang:eng,2025-11-10 22:00:00+00:00,2025-11-10,"AMD Advances Its AI Strategy With The Acquisition of MK1 , Brings High - Speed Inference & Reasoning Technologies Optimized For Instinct GPUs","amd advances its ai strategy with the acquisition of mk1 , brings high - speed inference & reasoning technologies optimized for instinct gpus",0.4588,positive,1
20251110T121500Z,Nvidia shoves Rubin into production with HBM4 in hand,https://www.fudzilla.com/news/62010-nvidia-shoves-rubin-into-production-with-hbm4-in-hand,fudzilla.com,English,China,"(""Applied Materials"" OR ""Lam Research"" OR Broadcom OR Micron) sourcelang:eng",2025-11-10 12:15:00+00:00,2025-11-10,Nvidia shoves Rubin into production with HBM4 in hand,nvidia shoves rubin into production with hbm4 in hand,0.4939,positive,1
20251111T171500Z,Shattering Nvidia CUDA Fortress : Spectral Compute $6M Push for GPU Freedom,https://www.webpronews.com/shattering-nvidias-cuda-fortress-spectral-computes-6m-push-for-gpu-freedom/,webpronews.com,English,United States,(semiconductor OR chip OR chips OR foundry OR wafer) sourcelang:eng,2025-11-11 17:15:00+00:00,2025-11-11,Shattering Nvidia CUDA Fortress : Spectral Compute $6M Push for GPU Freedom,shattering nvidia cuda fortress : spectral compute $6m push for gpu freedom,0.6369,positive,1
